parkingarea_id,username_alias,date_in_central_european_time,unix_timestamp,action,longitude_latitude
5633270,2197,2018-06-09 17:14:00.268811,1528560840269,INSERT,"(10.533043952019451,52.275937035471884)"
5633271,2197,2018-06-09 17:14:00.561225,1528560840561,INSERT,"(10.533176188157187,52.27593336076989)"
5633271,2197,2018-06-09 17:14:15.567502,1528560855568,DELETE,"(10.5331761882,52.2759333608)"
5633273,2197,2018-06-09 17:14:48.097786,1528560888098,DELETE,"(10.5331794535,52.2759341013)"
5633279,2197,2018-06-09 17:16:14.302306,1528560974302,INSERT,"(10.53067960358721,52.2754229538427)"
2884558,2197,2018-06-09 17:12:14.986020,1528560734986,UPDATE,"(13.4197350237,52.521013678)"
5633268,2197,2018-06-09 17:13:07.938386,1528560787938,INSERT,"(13.42057649678894,52.523336445618085)"
5633269,2197,2018-06-09 17:13:08.269519,1528560788270,INSERT,"(13.42040284951201,52.52339428279296)"
5633275,2197,2018-06-09 17:15:15.598966,1528560915599,DELETE,"(10.5311134414,52.275422799)"
5633274,2197,2018-06-09 17:15:38.289954,1528560938290,DELETE,"(10.5311215354,52.2755445232)"
5633276,2197,2018-06-09 17:15:53.125028,1528560953125,INSERT,"(10.532133303702587,52.27550307387702)"
5633277,2197,2018-06-09 17:15:53.270387,1528560953270,INSERT,"(10.532126584300025,52.27538213823029)"
5633277,2197,2018-06-09 17:16:01.083659,1528560961084,DELETE,"(10.5321265843,52.2753821382)"
3429009,2197,2018-06-09 17:18:10.972516,1528561090973,SET_DELETE,"(10.5388244,52.27566785)"
5633270,2197,2018-06-09 17:14:12.041175,1528560852041,DELETE,"(10.533043952,52.2759370355)"
5633272,2197,2018-06-09 17:14:44.127458,1528560884127,DELETE,"(10.5330470407,52.2759377278)"
5633280,2197,2018-06-09 17:17:59.967210,1528561079967,INSERT,"(10.529364948559902,52.27562818200082)"
5633281,2197,2018-06-09 17:18:00.116707,1528561080117,INSERT,"(10.529364950297417,52.27550711084425)"
5633283,2197,2018-06-09 17:18:43.876214,1528561123876,DELETE,"(10.5310477806,52.275529907)"
5633275,2197,2018-06-09 17:15:02.794696,1528560902795,INSERT,"(10.531113441357315,52.27542279904396)"
5633279,2197,2018-06-09 17:16:20.571532,1528560980572,DELETE,"(10.5306796036,52.2754229538)"
5633282,2197,2018-06-09 17:18:37.149558,1528561117150,INSERT,"(10.531052262578143,52.275408721505706)"
5633283,2197,2018-06-09 17:18:37.299808,1528561117300,INSERT,"(10.531047780561037,52.27552990695633)"
5633284,2197,2018-06-09 17:18:56.824138,1528561136824,INSERT,"(10.527128280106245,52.27534454043128)"
